Recipe Name,Ingredients,Recipe Instructions,Cuisine Type,Cooking Time,Difficulty Level,Serving Size
Mutter Paneer,"Paneer, Green Peas, Tomatoes, Onions, Garam Masala, Cream",1. Cook onions and tomatoes. 2. Add paneer and green peas. 3. Simmer with spices and cream.,North Indian,30 minutes,Easy,4 servings
Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables, Green Chilies","1. Heat oil, add mustard seeds. 2. Add vegetables and semolina. 3. Cook until soft.",South Indian,20 minutes,Easy,4 servings
Chicken 65,"Chicken, Red Chili Powder, Yogurt, Ginger-Garlic Paste, Curry Leaves",1. Marinate chicken with yogurt and spices. 2. Fry with curry leaves and garlic.,South Indian,30 minutes,Medium,4 servings
Pani Puri,"Puri, Tamarind, Mint, Potatoes, Black Chickpeas, Chaat Masala, Spices",1. Prepare puris. 2. Make spicy water with tamarind and mint. 3. Fill puris with potatoes and chickpeas. 4. Dip in water and serve.,Street Food,30 minutes,Easy,4 servings
Dal Makhani,"Black Lentils, Kidney Beans, Butter, Cream, Tomatoes, Ginger, Garlic","1. Soak lentils and beans overnight. 2. Cook with butter, cream, and spices. 3. Simmer and serve with naan.",North Indian,90 minutes,Hard,6 servings
Kadhi Pakora,"Gram Flour, Yogurt, Turmeric, Red Chili Powder, Cumin Seeds, Mustard Seeds, Curry Leaves",1. Mix gram flour with yogurt and spices. 2. Fry pakoras. 3. Cook kadhi and add pakoras.,North Indian,45 minutes,Medium,4 servings
Malai Kofta,"Potatoes, Paneer, Cashews, Cream, Onions, Tomatoes, Garam Masala",1. Mash potatoes and mix with paneer. 2. Form balls and fry. 3. Cook in a creamy tomato gravy.,North Indian,60 minutes,Medium,4 servings
Bhindi Masala,"Okra, Onions, Tomatoes, Ginger, Garlic, Spices, Cumin Seeds",1. Cut and fry okra. 2. Cook onions and tomatoes with spices. 3. Mix with okra and serve.,North Indian,30 minutes,Easy,4 servings
Aloo Paratha,"Wheat Flour, Potatoes, Green Chilies, Coriander, Cumin Seeds, Ghee",1. Prepare dough and stuffing with spiced mashed potatoes. 2. Roll out and fry on tawa. 3. Serve with butter.,North Indian,45 minutes,Medium,4 parathas
Pesarattu,"Green Gram, Ginger, Green Chilies, Onions, Cumin Seeds, Ghee",1. Soak green gram. 2. Grind to a batter. 3. Cook like dosa and serve with chutney.,South Indian,30 minutes,Easy,4 servings
Baingan Bharta,"Eggplant, Onions, Tomatoes, Garlic, Ginger, Spices, Mustard Oil","1. Roast eggplant. 2. Cook with onions, tomatoes, and spices. 3. Mash and serve.",North Indian,40 minutes,Medium,4 servings
Dhokla,"Gram Flour, Yogurt, Eno, Mustard Seeds, Curry Leaves, Green Chilies",1. Prepare batter with gram flour and yogurt. 2. Steam and cut into pieces. 3. Temper with mustard seeds.,Gujarati,35 minutes,Medium,4 servings
Litti Chokha,"Wheat Flour, Gram Flour, Potatoes, Brinjal, Tomatoes, Garlic, Mustard Oil",1. Prepare dough and stuffing. 2. Make littis and roast. 3. Serve with chokha made of mashed vegetables.,Bihari,60 minutes,Medium,4 servings
Mysore Pak,"Gram Flour, Ghee, Sugar, Cardamom",1. Roast gram flour in ghee. 2. Add sugar and cardamom. 3. Cook until set and cut into pieces.,South Indian,20 minutes,Easy,4 servings
Hyderabadi Haleem,"Wheat, Meat, Ghee, Lentils, Spices, Onions, Ginger, Garlic",1. Cook meat and wheat with spices. 2. Blend to a paste. 3. Simmer and serve.,Hyderabadi,240 minutes,Hard,6 servings
Kerala Fish Curry,"Fish, Tamarind, Coconut Milk, Green Chilies, Curry Leaves, Mustard Seeds, Spices","1. Marinate fish with spices. 2. Cook with coconut milk, tamarind, and curry leaves. 3. Simmer and serve.",Kerala,30 minutes,Medium,4 servings
Gulab Jamun,"Milk, Khoya, Sugar, Cardamom, Rose Water, Ghee",1. Make dough with khoya and milk. 2. Form balls and fry. 3. Soak in sugar syrup.,North Indian,60 minutes,Medium,4 servings
Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom, Dry Fruits",1. Grate carrots. 2. Cook with milk and sugar. 3. Add ghee and cardamom. 4. Garnish with dry fruits.,North Indian,45 minutes,Easy,4 servings
